Date,TotalWeight,FatPercentage,FatWeight,MuscleWeight,MuscleToFat,TotalCalories,CaloriesEaten,Exercise,CaloriesRemaining,Carbs,Fat,Protein,ExpectedWeight
4/25/2020,218.7,27.4,60.0,131.5,2.2,1780.0,1653.3,7.9,134.6,54.7,31.4,13.9,219.0
5/2/2020,216.5,26.9,58.3,150.2,2.6,1780.0,1480.4,10.9,310.4,49.6,32.3,18.1,216.2
5/9/2020,215.3,26.7,57.5,149.9,2.6,1780.0,1735.1,8.9,53.7,53.1,27.9,19.0,215.6
5/16/2020,212.0,26.0,55.1,149.1,2.7,1780.0,1760.1,4.4,24.3,54.6,26.3,19.1,212.0
5/23/2020,211.7,25.9,47.0,149.0,2.7,1780.0,1674.4,21.9,127.4,47.0,35.4,17.6,211.6
5/30/2020,211.6,25.9,46.9,149.1,2.7,1780.0,1481.0,26.4,325.4,56.6,24.6,18.9,211.8
6/6/2020,211.0,25.8,46.6,148.8,2.7,1780.0,1745.6,53.9,88.3,52.7,32.0,15.3,210.5
6/13/2020,210.3,25.6,53.8,148.7,2.8,1780.0,1443.0,67.7,404.7,39.1,40.0,20.9,210.3
6/20/2020,209.2,25.4,53.1,148.3,2.8,1780.0,1694.9,25.9,111.0,47.7,34.3,18.0,209.1
6/27/2020,209.4,25.4,45.6,148.4,2.8,1780.0,1887.6,38.9,-68.7,45.4,38.4,16.1,209.4
7/4/2020,208.8,25.3,37.7,148.2,2.8,1731.4,1730.0,129.7,131.1,45.7,29.9,24.4,209.0
7/11/2020,208.4,25.2,45.0,148.2,2.8,1610.0,1605.0,104.0,109.0,39.3,37.7,23.0,208.1
7/18/2020,207.4,25.0,44.4,147.8,2.9,1610.0,1627.0,113.1,96.1,45.7,33.1,21.1,207.1
7/25/2020,207.9,25.0,52.0,148.1,2.8,1610.0,1958.0,67.0,371.7,35.7,40.7,23.7,208.4
